fips,partywin,county,state_abbreviation,pop14,age18,age65,female,white,AmInd,asian,samehouse,foreign,language,education1,education2,vet_percentage,travel,housing_unit_per_person,homeowner,housing_multi,housing_value,households,perhousehold,income_cap,income_house,poverty,Private_nonfarm_establishments,Private_nonfarm_establishments_per_person,Nonemployer_establishments,Nonemployer_establishments_per_person,Retail_sales,Retail_sales_per_capita,,age18,age65,female,white,AmInd,asian,samehouse,foreign,language,education1,education2,vet_percentage,travel,housing_unit_per_person,homeowner,housing_multi,housing_value,households,perhousehold,income_cap,income_house,poverty,Private_nonfarm_establishments,Private_nonfarm_establishments_per_person,Nonemployer_establishments,Nonemployer_establishments_per_person,Retail_sales,Retail_sales_per_capita,Land_area_in_square_miles,Population_per_square_mile,pred_nn10,pred_nn15,partywin,,,,
1053,0,Escambia County,AL,37733,830126,630141.1,1841370.4,2346992.6,128292.2,11319.9,3524262.2,22639.8,52826.2,2875254.6,441476.1,2995.000011,886725.5,16402.00001,2735642.5,339597,3173345300,516225173,97728.47,624103820,1157912571,958418.2,27280959,723.0000132,79654363,2111.000004,14322956271,380688237,,22,16.7,48.8,62.2,3.4,0.3,93.4,0.6,1.4,76.2,11.7,0.079373493,23.5,0.434685819,72.5,9,84100,13681,2.59,16540,30687,25.4,723,0.019160947,2111,0.055945724,379587,10089,945.08,40.5,0.181607278,0.017891046,0,0,TN,,
1083,0,Limestone County,AL,90787,2124415.8,1252860.6,4512113.9,7444534,72629.6,127101.8,7998334.7,390384.1,581036.8,7399140.5,2060864.9,6964.000043,2387698.1,35444.99999,6954284.2,808004.3,12210851500,2886481878,232414.72,2271490740,4413973153,1334568.9,118749396,1307.999994,491793179,5417.000004,65657158400,888350795,,23.4,13.8,49.7,82,0.8,1.4,88.1,4.3,6.4,81.5,22.7,0.076707018,26.3,0.390419333,76.6,8.9,134500,31794,2.56,25020,48619,14.7,1308,0.014407349,5417,0.059667133,723200,9785,559.94,147.8,0.271103103,0.047247263,0,0,TN,,
1065,1,Hale County,AL,15184,353787.2,262683.2,801715.2,619507.2,3036.8,4555.2,1375670.4,18220.8,40996.8,1175241.6,194355.2,995.0000039,411486.4,7639.000007,1184352,92622.4,1213201600,90633296,38871.04,285641408,456294384,403894.4,2960880,195.0000037,11570208,762.0000055,1316984240,72792096,,23.3,17.3,52.8,40.8,0.2,0.3,90.6,1.2,2.7,77.4,12.8,0.065529505,27.1,0.503095364,78,6.1,79900,5969,2.56,18812,30051,26.6,195,0.012842466,762,0.050184405,86735,4794,643.94,24.5,0.903054979,0.926948592,1,1,TP,,
1071,0,Jackson County,AL,52665,1142830.5,979569,2670115.5,4818847.5,84264,26332.5,4803048,115863,179061,3928809,684645,4000.00002,1390356,24754.99998,3960408,363388.5,4918911000,1093588725,133242.45,1078895190,1981994610,842640,45081240,856.0000045,163156170,3097.999982,21644683020,409944360,,21.7,18.6,50.7,91.5,1.6,0.5,91.2,2.2,3.4,74.6,13,0.075951771,26.4,0.47004652,75.2,6.9,93400,20765,2.53,20486,37634,16,856,0.016253679,3098,0.058824646,410988,7784,1077.87,49.4,0.219746034,0.039694599,0,0,TN,,
1091,1,Marengo County,AL,20110,462530,374046,1069852,953214,6033,6033,1757614,14077,24132,1683207,349914,1461.999996,450464,10207.00001,1433843,183001,1801856000,170211040,48666.2,443867920,705438690,482640,9612580,477.9999996,20492090,1019.000004,3966114310,186500140,,23,18.6,53.2,47.4,0.3,0.3,87.4,0.7,1.2,83.7,17.4,0.072700149,22.4,0.507558429,71.3,9.1,89600,8464,2.42,22072,35079,24,478,0.023769269,1019,0.050671308,197221,9274,976.88,21.5,0.981957691,0.984929823,1,1,TP,,
1113,1,Russell County,AL,59608,1508082.4,745100,3057890.4,3165184.8,35764.8,47686.4,4869973.6,131137.6,298040,4792483.2,953728,5977.000024,1406748.8,26786.99997,3653970.4,1180238.4,6223075200,1260232336,154980.8,1172966224,2154411944,1311376,46673064,783.0000182,209998984,3523,25526291488,508217808,,25.3,12.5,51.3,53.1,0.6,0.8,81.7,2.2,5,80.4,16,0.100271776,23.6,0.449385988,61.3,19.8,104400,21142,2.6,19678,36143,22,783,0.013135821,3523,0.059102805,428236,8526,641.14,82.6,0.744119519,0.882666014,1,1,TP,,
1129,0,Washington County,AL,16834,378765,286178,861900.8,1111044,132988.6,1683.4,1536944.2,15150.6,31984.6,1355137,159923,1025.000005,535321.2,8376.999992,1456141,33668,1412372600,111441080,43600.06,343329430,709654104,309745.6,3652978,217.0000069,17355854,1030.999997,1285158062,75045972,,22.5,17,51.2,66,7.9,0.1,91.3,0.9,1.9,80.5,9.5,0.060888678,31.8,0.497623856,86.5,2,83900,6620,2.59,20395,42156,18.4,217,0.012890579,1031,0.061245099,76343,4458,1080.21,16.3,0.331365227,0.387271467,0,0,TN,,
1131,1,Wilcox County,AL,11098,275230.4,196434.6,581535.2,311853.8,2219.6,1109.8,1040992.4,1109.8,9988.2,844557.8,123187.8,461.999996,239716.8,5614.999995,826801,63258.6,743566000,42904868,32184.2,148480142,262378916,435041.6,2097522,189.0000054,6803074,613.0000054,840207384,66787764,,24.8,17.7,52.4,28.1,0.2,0.1,93.8,0.1,0.9,76.1,11.1,0.041629122,21.6,0.505947017,74.5,5.7,67000,3866,2.9,13379,23642,39.2,189,0.017030096,613,0.055235178,75708,6018,888.5,13.1,0.775233772,0.903702455,1,1,TP,,
1031,0,Coffee County,AL,50909,1206543.3,809453.1,2570904.5,3889447.6,71272.6,81454.4,4240719.7,259635.9,381817.5,4194901.6,1145452.5,6065.99999,1084361.7,22852,3558539.1,687271.5,6669079000,958107380,134908.85,1190252420,2228185112,946907.4,48567186,953.999991,132465218,2602.000023,32562567307,695671485,,23.7,15.9,50.5,76.4,1.4,1.6,83.3,5.1,7.5,82.4,22.5,0.119153784,21.3,0.448879373,69.9,13.5,131000,18820,2.65,23380,43768,18.6,954,0.018739319,2602,0.051110806,639623,13665,678.97,73.6,0.104976037,0.009418494,0,0,TN,,
1011,1,Bullock County,AL,10764,230349.6,160383.6,487609.2,289551.6,8611.2,3229.2,911710.8,58125.6,55972.8,729799.2,134550,636.0000033,289551.6,4460.999997,799765.2,93646.8,759938400,40268124,29385.72,200511792,344803212,232502.4,1205568,112.0000013,5059080,469.9999957,471570840,43002180,,21.4,14.9,45.3,26.9,0.8,0.3,84.7,5.4,5.2,67.8,12.5,0.059085842,26.9,0.414437012,74.3,8.7,70600,3741,2.73,18628,32033,21.6,112,0.010405054,470,0.043664065,43810,3995,622.81,17.5,0.982980464,0.893091154,1,1,TP,,
